,203_C1_D15,204_C1_D15,207_C1_D15,208_C1_D15,209_C1_D15,303_C1_D15,304_C1_D15,305_C1_D15,302_C1_D15,401_C1_D15,402_C1_D15,403_C1_D15,101_C1_D15,102_C1_D15,103_C1_D15,104_C1_D15,108_C1_D15,112_C1_D15,117_C1_D15,118_C1_D15,123_C1_D15,124_C1_D15,128_C1_D15,129_C1_D15,130_C1_D15,131_C1_D15,133_C1_D15,134_C1_D15
PATZ1,-0.18,-0.52,0.4,-0.57,-0.33,0.3,-0.61,0.14,-0.36,-0.71,0,-0.46,-0.08,-0.55,-1.05,-0.19,0.36,0.25,0.58,-0.18,-0.71,0.34,-0.02,-0.1,-0.33,-0.69,0.2,-0.46
APOL2,0.62,-0.33,0.13,-1.69,0.65,-1.57,0.32,-1.02,-0.04,-0.39,0,-0.14,-0.57,1.09,0.94,0.45,-0.8,0.04,0,1.08,-0.37,0.27,0.22,0.23,-0.54,-0.51,0.31,0.04
TMPRSS6,-0.1,-0.61,-1.68,0.57,0.41,1.51,-0.86,0.27,-0.45,0.14,0.95,-0.77,-0.4,-0.62,-0.77,-0.47,-0.18,1.51,0.61,1.3,-0.66,-0.72,2.07,0.15,-1.42,-0.73,-0.02,-0.94
KDELR3,0.36,0.49,-1.35,1.57,1.65,-0.74,0.75,-0.76,0,0,0,0,-0.01,0,1.38,-0.48,0,-0.4,-0.94,1.47,1.32,0.5,0,-0.35,0.42,0,0.39,1.02
SYNGR1,2.03,0.15,0.3,-0.34,0.21,-0.73,0.32,-0.54,-0.47,0.15,-0.06,-0.14,-0.1,0.12,0.01,-0.11,-0.4,-0.93,-0.01,1.67,-0.67,-0.2,1.24,0.61,-0.1,-0.07,0.41,-0.14
MCHR1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC3,0.48,0,-0.28,0.45,0.23,1.02,-0.55,-0.02,-1.02,-0.27,-0.42,-0.18,0,-0.19,-0.54,-0.35,0.27,0.18,-0.04,-0.27,0.69,-0.3,-0.03,0.36,0.17,-0.26,0.43,-0.17
RBX1,0.48,0.67,-0.3,-0.33,0,-0.17,0.05,0,0.23,-0.12,-0.26,0.37,-0.65,0.3,0.01,-0.3,-0.54,0.03,-0.66,1.15,0.44,-0.04,0.01,0.03,0,-0.08,0,0.03
MEI1,-0.79,-0.81,0.57,-1.44,0.29,-1.27,1.07,0.28,1.4,0.17,2.02,0.2,-0.54,1.16,0.23,1.15,-0.04,-1.83,-0.28,0.23,-0.76,0.35,-0.97,-0.08,-0.34,0.27,-0.07,-1.31
3-Sep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C22orf32,0.07,0.47,0.55,0.85,-0.47,0,0.14,-0.07,0,0.42,-0.52,0.15,-0.82,-0.65,-0.82,0.21,0,0.83,0.07,0,0,0.47,-0.15,-0.12,0.51,-0.12,-0.43,0.15
PMM1,-0.14,0.42,0.01,-0.75,0.12,0.86,0.28,-0.54,-0.06,-0.04,0.2,-0.36,-0.57,0.21,0.09,0.07,-0.03,0.47,0.17,-0.24,-0.94,-0.19,0.23,-0.05,-0.1,0.01,-0.07,0.1
SCUBE1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TCTEX1D2,0.18,-0.12,-0.47,0.01,-0.73,0.48,-0.48,0.39,-0.34,-0.1,-0.66,0.38,0.04,-1.83,-1.13,-1.27,0.67,-0.32,0.53,0.1,0.62,-0.29,0.16,-0.47,0.56,-0.74,-0.49,-0.17
NUP50,0,-0.1,-0.03,-0.73,0.38,-0.18,-0.65,-0.15,-0.47,-0.15,0.01,-0.51,-0.47,0.45,0,0.4,-0.46,0,-0.89,1,0.6,-0.38,0,0.2,-0.81,-0.66,0,0
FBLN1,0.52,-0.69,-0.17,-1.55,0.27,-3.16,0.34,-1.06,0.07,0.89,-0.44,0,-0.47,1.32,0.63,0.53,-0.86,-1.39,-1.22,0.47,1.82,1.3,-0.69,0.72,-0.13,0.8,0.67,0
PPARA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CERK,0.33,-1.82,-0.03,-0.39,0.33,-0.89,0.13,-1.26,-0.54,-0.7,1.6,-0.32,-0.88,0.04,0.08,0.07,-0.14,0.56,-0.69,0.33,0.21,0.24,0.38,-0.34,-1.41,-0.09,-0.12,0.11
HDAC10,0.36,-0.23,1.02,-0.6,-0.07,-0.38,0.65,0.3,-0.85,-0.21,0.73,-0.52,0.38,0.86,0.74,0.7,-0.57,0.3,-1.37,-0.89,0.28,0,0.1,-0.66,0.04,1.17,-1.13,1.13
MLC1,1.45,-0.3,0.01,-1.61,0.95,-0.81,-0.41,-0.52,1.06,-0.15,-0.82,0.01,-0.71,0.46,1.14,-0.07,0.35,-1.03,0.17,0.8,-0.47,0.46,0.56,-0.07,-0.37,-0.15,-0.39,0.34
ZIC4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FGF12,2.03,0.35,0.34,-0.44,0,0.28,0,1.24,-0.5,-0.24,-1.44,-0.27,0.29,-0.84,-0.78,0,1.53,-1.29,0.04,2.76,2.8,0.61,-0.69,0.47,0,0,-0.72,-0.02
UBP1,0.17,-0.41,0.21,-0.21,-0.01,0.75,0.07,-0.43,0.28,-0.06,0.03,0.56,0.27,0.12,0.18,0.25,-0.06,0.25,-0.4,-0.25,0.13,0.03,-0.15,0.46,0.16,0.14,0.51,-0.39
GTF2E1,0.29,0.11,0.17,-0.16,0.08,0.48,-0.16,0.23,0.2,0.1,-0.93,0.26,-0.39,-0.03,-0.18,-0.1,-0.3,-0.87,-0.07,0.1,-0.18,-0.01,-0.05,0.05,0.31,-0.05,0.67,-0.01
COL8A1,1.05,-0.38,-0.4,0.28,1.94,-2.91,-1.02,-2.34,-0.21,0.37,-0.07,0.17,-0.1,1.25,0.83,-0.64,-0.61,-1.2,-2,0.21,1.46,1.55,-0.36,-0.35,-0.33,-0.61,0.81,1.56
ACAP2,0.4,-0.49,-0.08,0,0.42,-0.78,0.17,0.07,-0.04,0,0,-0.04,0,0.84,1.04,0.2,0,-0.8,-0.48,0.22,0.82,0,-0.23,-0.17,-0.71,0.47,-0.41,-0.01
ZNF35,0.01,0.29,-0.4,0.77,0.11,-0.66,-0.28,-0.56,0.27,0.01,-1.15,0.11,0.35,-0.53,-0.14,-0.42,0.27,-0.07,0.35,1.29,0.61,-0.57,-0.14,0.15,-0.29,-0.52,0.29,-0.07
OPA1,0.53,0,0.34,0.29,-0.11,0.21,0.36,0.18,-0.34,0.34,-0.4,0.21,-0.14,-0.57,-0.11,-0.34,0.12,-0.28,-0.34,-0.24,0.24,-0.1,0.24,-0.17,0.96,0.57,-0.1,0.74
LRRFIP2,0.5,-0.15,-0.16,-0.71,0.1,-0.08,-0.17,0.46,-0.33,-0.09,0.28,0.09,-0.54,0,0.28,-0.34,1,1.64,-0.29,0.32,1.03,0,-0.22,0.02,-0.49,0.01,0.63,0.18
MAP4,-0.53,0.58,0.6,-0.21,0.06,-0.32,0.06,-0.92,-0.11,0.17,-0.18,-0.29,0.36,0.86,0.46,0.46,-0.4,-0.01,-0.3,-0.11,0.93,0.34,-0.06,0.42,0.01,0.08,0.77,0.82
MAP4,-0.47,1.04,0.54,0,-0.09,0.06,-0.03,-1.1,-0.11,0.09,-0.54,-0.1,0.61,0.89,0.54,0.65,-0.27,0.35,-0.08,-0.19,0,0.2,0.06,0.44,0.22,0.03,0.99,0.81
ZXDC,0.4,0.25,0.46,-0.31,-0.14,-0.05,0.35,0.08,-0.42,0.11,-0.04,-0.43,0.29,0.43,0,0.14,0.06,0.02,-0.47,-0.56,0.74,0,-0.3,-0.07,0.03,0.85,-0.33,0.37
AGTR1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBA3,0.17,0,-0.04,1.15,-0.17,0.12,-0.23,-0.91,0.27,0.21,-0.64,0.35,0.57,-0.47,0,-0.07,-0.07,0.28,-0.46,0.66,0.4,-0.46,0.21,-0.11,0.14,-0.35,-0.07,0.27
ABHD6,-0.44,2.22,1.23,0.15,0.47,-1.33,-0.01,0.06,0.6,0.37,0.17,0.15,0.47,0.24,0.51,0,-1.26,0.56,-0.16,-0.27,0.49,0.27,-0.46,0.24,-0.19,-0.01,0.44,-0.16
RPP14,-0.26,0.61,0.06,0.02,-0.02,-0.25,0.05,-0.79,-0.07,-0.09,-0.3,0.13,0.11,-0.14,0.25,0.2,0.76,0.34,0.38,0,-0.29,-0.38,0.14,0.06,0.01,-0.14,0.01,-0.35
FLNB,-0.8,0.14,0.96,-0.12,-0.09,0.74,-0.69,0.31,-1.12,-0.4,0.25,-0.23,0.33,0.07,-0.27,0.68,0.15,1.49,0.63,-0.76,0.03,-0.6,-0.79,0,0.32,-0.42,-0.07,0.03
GPR27,-0.47,-1.47,-0.01,1.44,-0.35,-0.24,-0.17,-0.78,1.14,0.97,-0.3,0.81,1.7,-2.06,-2.77,-0.12,0.57,1.69,0.76,-1.17,-1.59,0.18,0.01,-0.43,0.88,0.35,-0.49,-0.81
PLS1,-0.76,-0.44,-0.48,3.05,0.31,0,-0.31,0.97,0.02,0.09,-0.9,1.11,-0.22,-2.59,0,-0.11,-1.22,2.07,0.5,1.35,-0.58,-1.28,0.76,-0.3,0.96,0,1.45,-0.08
PLOD2,-0.13,0.09,0,0.28,2.04,-1.16,-0.03,-0.77,0.08,0.02,-0.43,0.15,-0.51,2.01,1.74,-0.96,-0.82,0.68,-1.88,0.03,1.5,0.39,-0.35,-1.24,0.2,-0.15,0.62,0.87
WNT5A,-1.27,-0.26,-0.06,0.8,0.9,-0.66,-0.1,-1.24,1.16,0.75,-0.85,1.73,0.03,-0.56,-1.16,-2.48,-1.46,0.33,-2.32,-0.28,0.61,0.8,-0.06,0.78,1.27,0.47,1.37,-1.11
P2RY13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TGFBR2,-0.29,1.51,1.54,-0.78,0.32,-1.9,1.06,-0.3,0.97,0.91,0,0.25,-0.7,0,0.76,0.5,-1.01,0,-0.15,0.18,0.82,0.97,-0.26,1.34,0.48,1.03,0.61,1.33
ATP6V1A,0.34,0.72,0.36,-0.24,0.25,0.64,0.12,-0.05,-0.82,-0.34,-0.26,0.07,0.07,0,1,0.25,0.67,0.59,-0.15,0.08,0,-0.05,0.45,0.22,0.04,0.04,0.5,0.27
NEK11,-0.24,-0.21,-0.18,1.27,-0.64,0.47,-0.12,-0.76,0,0.88,-1.16,0.57,0.68,-1.43,-0.35,-1.42,1.26,0.48,0.46,0,-0.06,-0.21,0,0.19,0.14,-0.51,-0.7,0.05
SNRK,0.63,1.32,1.13,0.17,-0.45,-0.85,0.48,-0.95,0.76,0.01,-0.29,-0.21,0.02,0.53,0.36,0.2,-0.7,0.97,-0.35,0.38,0.33,-0.07,0,0.56,0.24,0.53,0.04,0.54
SEC22C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NKTR,-0.1,-0.29,1.27,-0.01,0.4,-0.62,1.34,0.36,-0.72,0.68,0.6,0.14,0.6,0.14,0.65,-0.15,-0.68,0.23,-1.07,-1.11,0.55,-0.11,-0.12,-0.36,0.94,1.25,-1.33,1.46
ZBTB38,0,-0.17,0.2,-0.12,0.07,-0.29,0.4,0.21,-0.23,0.33,0.28,-0.11,-0.12,0.54,-0.17,0.14,0.29,0.38,-1.38,-0.16,0.91,0.29,-0.3,-0.03,0.07,0.34,-0.18,0.42
DLG1,-0.05,0.8,0.24,1.53,-0.68,0.24,0.13,-0.05,-0.07,0.11,-0.78,0.55,0.82,-0.65,-0.64,-0.83,0.46,0.76,-0.68,-0.08,0.62,-0.14,-0.23,-0.06,0.69,0.34,0.08,0.94
MFI2,0,-0.56,-0.8,-0.06,0.3,-0.65,-0.45,-0.69,0,-0.46,0,-0.32,0,0,0.29,0.3,0,0.29,-0.14,0,0.29,0.21,0.18,-0.1,-0.35,0.18,0.82,-0.91
BCHE,-0.36,0.3,-0.22,-1.83,-0.3,0,2.78,-0.73,0.18,1.24,-0.23,0,0.61,-0.75,1.69,-1.85,-0.83,-2.96,0.03,1.96,-1.54,0.69,-0.46,1.68,-0.26,0.68,-0.32,1.33
MME,0.09,2.46,1.37,-0.52,-0.13,-1.07,1.55,-0.01,0.8,1.9,-0.49,0.9,-0.65,0.83,2.08,-0.1,-0.73,-0.61,-0.13,2.65,0.43,-0.24,1.19,0.38,-0.32,0.37,0.59,0.24
UBA7,-0.01,0.47,0.17,-1.21,0.39,-2.09,0.26,-0.85,-0.09,-0.45,0.49,-0.16,-0.15,1.45,0.38,0.5,-0.04,0.56,-0.58,0.07,-0.14,-0.16,-0.82,0.33,-0.51,0.02,0.08,0.38
MBNL1,0.19,0.03,-0.41,-1.32,1.42,-0.57,0.16,-0.73,0.19,1.14,0.94,-0.26,-0.96,0.92,1.2,0.16,0.04,-0.65,-0.66,1.46,0.62,0.03,-0.31,-0.2,-1.25,-0.17,-0.44,0.06
NFKBIZ,-1.43,-0.01,1.18,-1.23,-0.6,-1.33,0.98,-0.37,1.56,-1.02,1.45,0.34,1.42,-0.6,-1.96,-1.4,2.42,0.94,-1.17,-1.24,1.12,-1.14,-1.2,0.37,1.01,1.3,0,0.37
DAZL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GALNTL2,1.64,0.92,0,1.12,1.42,-1.46,1.01,-1.43,0.68,0.67,-0.48,-0.84,-0.34,0.71,0.72,-0.21,0,-1.37,0,0,0.72,0.24,-0.53,-0.04,0.46,0.42,-0.24,1.58
COLQ,0,-0.11,0.01,-0.45,-0.21,0.76,0.71,-0.15,0,-0.85,0,0.01,0.6,0,1.1,0.21,-0.74,-0.36,-0.8,0,-0.34,-0.29,0.2,-0.23,0.32,0.39,-0.45,1.16
NUP210,-0.85,-1.02,0.4,0,-0.46,0.24,-0.6,0.35,-1.1,0.01,0.23,-0.56,0,0.76,-0.7,0.36,0.57,1.38,0.15,-1.55,-1.1,-0.53,-0.62,0.03,0,-1.26,-0.27,-0.51
TAMM41,0.14,-0.23,0.15,0.09,0.24,-0.26,-0.18,0.29,0.38,-0.21,0.2,0.01,-0.01,-0.51,-0.36,-0.48,-0.05,0.12,0.34,0,-0.17,-0.12,-0.23,0.3,0.08,0,0.18,0.08
HRH1,0.47,0.36,0.23,0.07,0.69,-1.85,0.18,-0.41,0.41,0.3,-0.45,0.15,-0.39,1.26,0.9,0.54,-1.42,-1.98,-0.92,0.76,0.8,0,0.3,0.52,-0.48,-0.15,0.57,0
SETD2,0,0.07,-0.19,-1.02,-0.36,-0.96,-0.11,-0.85,0.08,0.5,-0.13,-0.29,-0.02,0.42,0.5,0.11,0.27,-0.16,-0.29,0.6,0.65,0.01,0.04,-0.57,-1.03,0.34,-0.46,0
OGG1,-0.3,-0.24,0.74,0.03,-0.34,0.05,0.83,0.53,-0.38,-0.15,-0.13,-0.09,-0.36,0.3,-0.07,0.12,-0.58,-0.45,0.14,-0.79,-0.28,0,-0.18,-0.05,0.53,0.57,-0.08,1.08
SETD5,-0.35,-0.39,1.23,0.92,0.3,0.48,1.13,0.94,-1.51,-0.21,0.57,-0.15,0.94,-0.01,0.91,1.06,0.17,1.17,-0.78,-1.59,-0.33,-0.06,-0.2,-0.68,0.55,1.18,-1.05,0.95
THUMPD3,0.19,0.32,-0.15,0.4,0.02,0.84,-0.19,-0.04,0.05,0.34,-0.4,-0.15,0.21,-0.68,0.02,0.04,0.5,0.15,0.22,0.19,0.13,-0.28,0.22,-0.1,-0.03,-0.39,-0.18,-0.1
CHL1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KNG1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MASP1,-0.77,0,-0.2,0.66,0,0,0.25,0,0,-0.41,0.8,0,-0.65,0,0,-0.5,-0.17,-0.26,0.4,0,0.46,0,0.01,0.92,-0.35,0.09,0,0.13
POC1A,-0.72,0.59,-1.12,-0.47,-0.54,-0.69,-1.2,-1.91,-0.46,-0.33,-0.72,-0.2,0.11,-0.38,-0.11,-0.95,0.76,-0.23,-0.33,-0.25,-0.14,-0.16,0.21,-0.28,0,-0.67,0.01,-1.3
TRIM37,-0.05,0.56,-0.01,1.14,-0.32,1.15,-0.01,1.21,-0.17,-0.25,-0.24,0.7,0.56,-0.61,-0.99,-0.51,-0.1,0.39,-0.56,0.23,-0.39,0.1,-0.05,-0.06,1.29,-0.12,0.09,0.43
KIF9,-0.75,0.46,0,1.26,-0.24,0.52,-0.46,-0.85,0.12,0.23,-0.25,0.44,-0.02,-2.25,-1.95,-1.11,-0.34,0.97,1.31,0.03,0.25,-1.02,1.13,0,-0.52,-1.04,-0.01,-0.29
C3orf75,-0.25,0.07,-0.24,0.25,0.12,-0.63,0.13,-0.47,0.14,0,-0.44,0.02,-0.13,-0.3,-0.02,-0.33,0.11,0.21,-0.12,0.12,-0.22,-0.22,0.24,0.06,-0.27,-0.09,-0.07,-0.01
PTPN23,-0.64,-0.68,0.6,-0.78,-0.06,-0.03,-0.26,0.15,-0.35,0.19,0.22,-0.15,0.14,0.37,0.14,0.15,-0.25,0.55,0.42,-0.78,0.09,0.23,0.04,0.24,-0.12,0,0.14,0.36
FYCO1,-0.2,0.35,0.09,-0.29,-0.48,-0.42,-0.31,-0.23,0.75,0.77,-0.28,0.14,0.15,-0.25,-0.59,-0.14,0.39,0.14,0.28,0,0.55,0.03,0.06,0.24,-0.28,-0.09,0.23,0.03
CCR2,-1.04,-0.29,-0.15,-3.31,0.01,-1.04,1.25,0.18,0.94,0.45,1.29,0.6,-1.35,1.36,-1.05,0.81,0.19,-2.64,0,0.51,-1.03,0,-1.23,0.8,-0.07,0.28,-1.05,-0.34
CCR9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC6A20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SACM1L,-0.19,1.36,0.23,0.72,-0.21,-0.36,0.35,0.22,0.48,0,-0.05,0.62,0.17,0.04,-0.11,0.05,-0.36,0.28,-0.86,0,0.71,-0.23,-0.25,0.02,0.09,0.48,-0.12,0.41
LARS2,-0.04,0.33,0.27,-0.12,-0.4,-0.08,-0.57,-0.18,0.01,-0.02,-0.62,-0.02,0.24,0.29,-0.49,-0.43,-0.11,0.57,-0.01,-0.77,0.37,-0.25,0.15,-0.15,0.2,-0.53,0.6,-0.22
NAT6,-0.55,0.01,-0.01,-0.41,0,0,0,-0.57,0.4,0.35,0.01,-0.03,-0.83,0.1,0.14,-0.28,-0.4,0.32,1.07,-0.25,-0.08,0.2,0,0.23,-0.25,-0.29,0.23,0.2
XYLB,-1.1,0.11,0.35,-0.47,-0.93,0.02,0.04,0.04,-0.84,0.4,-0.42,-0.18,0.01,0.1,0.34,-1.33,-0.3,0.45,0.17,0,1.25,-0.01,-0.27,-0.49,-0.12,-0.15,0.01,0
CTDSPL,-0.33,0.35,0.8,0.55,-0.32,-0.19,-0.05,-1.1,-0.53,-0.01,-0.63,0,0.55,-0.8,-0.88,0.1,0.41,0.17,0.78,-0.73,0,0.01,-0.11,0.3,-0.01,0.06,0.11,-0.01
IFT122,2.82,-0.41,0.49,-0.47,-0.15,1.52,-0.29,-0.57,-1.02,-0.47,-1.02,-0.71,-0.23,-0.91,-0.77,-0.18,0.66,0.69,0.32,0.64,-0.77,-0.41,2.19,0.7,0.26,-0.47,0.61,0.2
SEC61A1,-0.11,0.49,-0.08,0.33,0.44,0.43,-0.18,-0.48,-0.54,-0.69,-0.25,-0.41,0.04,0.9,0.21,0.02,0.99,0.28,-0.17,-0.23,1.13,-0.14,0.01,0.3,0.03,-0.2,0.63,-0.23
ENTPD3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHISA5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC9A9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACAD11,-0.53,0.72,0.69,-0.24,-0.08,0,0.75,-0.13,-0.67,0.11,-0.74,-0.29,0.42,0.4,0.5,0.06,0.97,0,-0.53,-0.31,-0.07,0.11,0.26,-0.26,0,0.92,-0.28,0.89
TF,0.01,0,1.64,-0.91,0,-0.18,0,-0.38,0,0,0,0,-0.32,0.71,0.27,1,-0.62,-0.55,0.16,1.09,0,0.65,-0.39,0.35,-0.83,1.1,-1.43,0
TF,-0.43,2.57,1.29,-1.27,-0.83,0.11,1.19,-0.62,-0.38,2.44,-0.51,-0.47,-0.93,0.68,0.1,0.82,-0.67,-0.52,0.72,1.46,-1.73,0.72,-0.12,0.46,-0.98,0.81,-1.91,0.06
TTC14,-0.27,-0.78,0.07,0.1,-0.24,-0.29,0.31,-0.27,-0.43,0.06,-0.17,0.02,0.34,-0.07,0.4,0.12,0.81,0.56,-0.73,-0.48,0.43,-0.23,0.1,-0.29,0.01,0.17,-0.57,0.69
ATP11B,0,0.38,2.6,-1.02,2.29,0.28,1.46,-0.28,0,0.1,-0.53,0.36,-0.34,0.28,0.58,-0.35,0.2,-1.36,-0.43,0,0.91,0.07,-0.77,1.19,-0.01,0.23,0.39,0.2
CHMP2B,0.12,0.05,-0.51,0.13,-0.05,0.68,-0.34,-0.54,0.08,0.08,-0.67,0.03,-0.05,-0.66,-0.45,-0.39,0.49,-0.14,-0.11,0.58,0.85,-0.21,0.4,0.06,-0.1,-0.25,0.17,0.05
RAB5A,0.15,0.42,0.16,0.47,-0.04,1.07,0.29,0.15,0,0.04,-0.92,0.15,0.24,-0.46,-0.03,-0.08,0.49,-0.22,0,-0.1,0.29,0.17,0.18,0,0.54,0.08,0.27,0.45
TBL1XR1,-0.21,0.4,0.15,0.73,-0.57,0.49,0.62,0.61,0.1,-0.08,-0.41,0.2,0.24,-0.54,0.28,-0.24,0.4,0.48,-0.1,0.06,0.4,0,-0.18,0.18,0.16,0.46,-0.03,0.46
TBL1XR1,-0.27,0.4,0.27,0.78,-0.46,0.47,0.66,0.68,-0.01,0.12,-0.27,0.12,0.28,-0.42,0.35,-0.14,0.35,0.35,-0.17,-0.22,0.41,0.13,-0.17,0.27,0.23,0.61,-0.17,0.65
TRAT1,-0.35,-0.22,-0.75,0,0.92,-1.66,0.64,-1.58,2.91,-0.78,1.62,0.26,-0.6,2.28,0.07,1.87,0,-1.45,-0.13,2.98,-0.11,-0.43,-1.06,0.09,-0.89,0.09,-0.09,-1.14
DAG1,0,-0.39,-0.13,-0.01,-0.51,-0.54,0,-0.54,0.85,-0.11,0.28,-0.06,0,-0.73,-0.76,0.76,0.48,0.79,0.99,0,-0.02,-0.24,-0.02,0.43,-0.67,-1.22,0.23,-0.8
VPRBP,-1.1,0.38,0.32,0,0,-0.23,-0.06,0,-1.06,-0.05,-0.08,-0.14,-0.03,0,0.33,0.6,-1.39,0.31,0.93,0,0.04,0.25,0.36,0.08,1.29,0.24,0.02,1.11
CLSTN2,0.71,-0.21,0.3,0.59,-1.83,2.41,-2.05,1.47,0.04,-0.75,0.43,-0.14,-1.61,-2.98,0,-1.05,0.03,1.94,0.27,-1.2,-3.01,-0.52,1.1,-1.39,-0.67,-0.91,0.39,0.82
TFRC,0.27,1.12,-0.69,1.05,-1.31,-0.24,-0.69,-0.7,-0.99,-1.19,-1.56,-0.33,-0.2,0.21,0.17,-1.33,0.24,1.27,-2.4,0.16,-0.1,-0.56,-0.45,-0.57,1.17,-0.7,-0.03,-0.24
TRA2B,-0.3,0.07,0.01,0.23,0,-0.65,0.12,-0.24,-0.18,0.1,-0.41,0.11,0.07,-0.35,-0.04,-0.07,0.07,0.28,-0.59,-0.36,-1.03,0.07,-0.21,0.17,0.22,0.2,0.01,-0.08
KLHL6,-0.01,0.39,0.47,-1.17,0.1,-1.56,0.48,-0.35,0.94,-0.23,1.11,0,-0.1,1.44,1.13,0.4,-0.32,-1.48,-0.93,1.29,1.15,0.73,-0.04,-0.34,-0.05,-0.26,0.8,-0.07
ABCC5,0.76,-0.64,1.51,-0.96,0.9,1.33,-0.29,0.92,-0.6,-1.22,0.7,0.32,0.03,0,0.84,0.68,0.34,0.18,-0.81,0,0.41,-0.68,-1.03,0.32,0.81,-0.2,0.17,-0.54
NME9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NME9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MECOM,0.92,1.05,0.57,-0.6,-0.1,-0.46,0.26,-0.08,0.51,0.89,-0.5,-0.7,-0.03,-0.74,0.45,-0.04,0.12,-1.32,-0.21,0.71,0.61,1.04,0.03,0,0.22,1.33,-0.7,0.73
FSTL1,0.01,0.18,0.41,-0.01,0.73,-2.83,1.11,-0.93,-0.47,0.36,-0.65,0.4,0.21,1.73,1.82,0.47,-1.15,-1.56,0,0.17,1.74,1.16,-0.2,0.4,0.92,0.94,0.91,1.51
ATG3,0.14,0.74,-0.1,0.44,0,0.1,-0.11,-0.04,0.22,0.2,-0.46,0.39,-0.44,-0.16,-0.27,-0.51,-0.19,0.14,-0.36,0.07,-0.17,0.05,0.04,0.14,0.43,-0.31,0.21,0.04
CBLB,-0.02,-0.26,0.47,-0.46,0.21,0.08,0.29,0.24,-0.17,-0.17,0.18,0.03,-0.11,0.8,1.21,-0.4,-0.35,-0.55,-1.17,-0.39,1.65,0.11,-0.17,0.28,0.01,0.18,-0.04,0.69
TBC1D23,0.02,0.4,0.01,1.08,0.07,0.47,0.65,0.03,0.44,0,-0.69,0.33,0.04,-0.24,0.09,-0.55,-0.11,-0.08,-0.99,0.26,0.37,0.02,0.02,0.01,0.46,0.34,0.11,0.94
HTT,-0.41,0.2,0.52,-0.36,-0.11,-0.23,0.01,0.67,-0.2,-0.24,-0.1,-0.54,0.21,0.46,-0.2,0.15,-0.3,0.35,0.3,-0.95,0.29,0.21,0.18,0.03,0.17,0.15,0.35,0
GRK4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADD1,-0.34,0.01,0.64,-0.55,-0.6,0.23,-0.2,0.54,-0.2,0.17,-0.2,-0.26,0.2,0.48,-0.1,0.14,-0.74,0.01,-0.15,-0.58,0.88,0.48,-0.24,0.35,0.38,0.14,0.46,0.33
PARM1,0.61,0.01,0.19,-1.42,-0.3,-2.11,-0.16,0.17,0.15,0.25,0.05,0.2,-0.88,0.24,-0.38,0.6,-1.37,1.37,0.4,0.6,0,-0.29,-0.49,0.52,-1.39,0.59,-0.33,-1.1
MTBP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-Sep,0.59,0.15,0.27,0.24,1.13,-1.79,0.7,-0.69,0.68,0.29,-0.77,-0.51,0.09,0.29,1.85,-0.05,-0.26,-0.73,-0.68,1.12,0.39,0.55,0.15,-0.2,0.24,-0.38,0.15,1.05
